abandon|từ bỏ, bỏ rơi|desert, forsake, leave
hoist|nâng lên, kéo lên|lift, raise, elevate, heave
hold|cầm, nắm, chứa đựng|contain, retain, grasp, clutch, possess
hollow|trống rỗng, rỗng tuếch|empty, vacant, void, sunken
holy|linh thiêng, thần thánh|sacred, divine, hallowed, blessed, religious
home|nhà, chỗ ở|residence, dwelling, house, habitat, abode
honest|thật thà, trung thực|sincere, frank, candid, trustworthy, truthful
honesty|sự trung thực|integrity, sincerity, truthfulness, frankness
honor|danh dự, tôn vinh|respect, glory, esteem, privilege, celebrate
hope|hy vọng|expectation, desire, wish, aspiration
hopeful|đầy hy vọng|optimistic, confident, promising, buoyant
hopeless|tuyệt vọng|desperate, futile, bleak, discouraged, impossible
horrible|kinh khủng, tồi tệ|terrible, awful, dreadful, shocking, ghastly
horrid|ghê sợ, khó chịu|nasty, offensive, unpleasant, gruesome
horrify|làm khiếp sợ|terrify, frighten, scare, shock, appall
hospitable|hiếu khách|welcoming, friendly, cordial, gracious, open
hostile|unfriendly, aggressive, antagonistic, warlike
hostility|sự thù địch|animosity, enmity, opposition, hatred, antagonism
hot|nóng, cay, sốt dẻo|fiery, burning, spicy, passionate, popular
huge|to lớn, khổng lồ|enormous, vast, gigantic, colossal, immense
humane|nhân đạo, từ bi|compassionate, kind, merciful, benevolent
humble|khiêm tốn|modest, unpretentious, meek, lowly
humiliate|làm nhục, làm bẽ mặt|embarrass, shame, mortify, disgrace
humorous|hài hước|funny, amusing, comical, witty, hilarious
hunger|sự đói khát, khao khát|starvation, appetite, desire, craving, longing
hunt|săn bắn, tìm kiếm|chase, pursue, search, seek, track
hurl|ném mạnh, phóng|throw, fling, toss, cast, pitch
hurried|vội vã, nhanh chóng|hasty, rushed, quick, rapid, swift
hurry|giục giã, nhanh lên|rush, hasten, speed, scurry, dash
hurt|làm đau, tổn thương|injure, harm, damage, offend, distress
hybrid|lai, hỗn hợp|composite, mixture, blended, crossbred
hypocrisy|sự đạo đức giả|insincerity, deceit, duplicity, pretense
hypothesis|giả thuyết|theory, assumption, conjecture, premise
hypothetical|có tính giả thuyết|theoretical, imaginary, assumed, supposed
hysterical|cuồng loạn, mất kiểm soát|frantic, wild, uncontrolled, frenzied
habitual|quen thói, thường xuyên|customary, regular, routine
hack|đột nhập, chặt, đốn|chop, cut, breach
hallucinate|thấy ảo giác|delude, imagine, fantasize
hallucination|ảo giác|delusion, illusion, vision
hallow|tôn kính, thánh hóa|consecrate, sanctify, bless
hallowed|thiêng liêng|sacred, holy, blessed
handicraft|đồ thủ công|craft, handiwork, artisanship
happen|xảy ra, tình cờ|occur, take place, chance
happy|hạnh phúc, vui vẻ|joyful, cheerful, glad
harbinger|người báo hiệu, điềm báo|herald, sign, indicator
hardware|phần cứng, đồ kim khí|equipment, tools, gear
hardy|chịu đựng giỏi, cứng cáp|tough, robust, strong
harrowing|bi đát, kinh hoàng|distressing, terrifying, agonizing
harry|quấy rầy, cướp bóc|harass, annoy, plague
hatch|ấp trứng, nảy ra (ý tưởng)|incubate, breed, devise
haunt|ám ảnh, lui tới thường xuyên|obsess, torment, frequent
haven|nơi trú ẩn, bến cảng an toàn|sanctuary, refuge, shelter
havoc|sự tàn phá, lộn xộn|destruction, devastation, chaos
headquarters|trụ sở chính|base, center, main office
health|sức khỏe|well-being, fitness, condition
hear|nghe thấy|listen, perceive, catch
heat|nhiệt độ, làm nóng|warmth, fever, warm up
heave|nâng lên, nhô lên|lift, hoist, haul
heaven|thiên đường|paradise, nirvana, sky
heckle|la ó, ngắt lời|jeer, taunt, interrupt
hedge|hàng rào, rào dậu, phòng ngừa|fence, barrier, protect
heedless|lơ là, không chú ý|careless, reckless, unmindful
height|chiều cao, đỉnh cao|tallness, altitude, peak
heir|người thừa kế|successor, inheritor, beneficiary
helicopter|trực thăng|chopper, aircraft, copter
hell|địa ngục, cảnh khốn cùng|underworld, misery, inferno
helmet|mũ bảo hiểm|headgear, hard hat, headpiece
hem|viền (áo), bao vây|border, edge, enclose
hence|do đó, kể từ đây|therefore, thus, consequently
herb|thảo mộc|plant, botanical, flora
heresy|dị giáo, ý kiến trái chiều|dissent, unorthodoxy, blasphemy
heritage|di sản|inheritance, legacy, tradition
hero|anh hùng|champion, idol, protagonist
hesitant|do dự, ngập ngừng|uncertain, unsure, reluctant
heyday|thời hoàng kim|prime, peak, pinnacle
hiatus|khoảng trống, sự gián đoạn|pause, break, interval
hierarchy|hệ thống cấp bậc|pecking order, ranking, scale
hijack|không tặc, cướp đoạt|seize, commandeer, steal
hike|đi bộ đường dài, tăng giá|walk, trek, increase
hilarious|vui nhộn, hài hước|funny, comical, amusing
hill|ngọn đồi|mound, incline, elevation
history|lịch sử|past, background, chronicle
hit|đánh, va chạm|strike, smack, crash
hitch|chướng ngại, sự vướng mắc|snag, problem, catch
hobo|người lang thang|tramp, vagabond, drifter
hole|cái lỗ, hang|opening, cavity, pit
holiday|ngày lễ, kỳ nghỉ|vacation, break, festival
holocaust|sự tàn sát, diệt chủng|massacre, destruction, annihilation
homage|sự tôn kính, lòng thành kính|respect, honor, tribute
homogeneous|đồng nhất, đồng đều|uniform, identical, unvaried
honey|mật ong, sự ngọt ngào|nectar, sweetness, dear
hoodwink|lừa gạt, bịp bợm|deceive, trick, cheat
hook|cái móc, lôi cuốn|catch, clasp, captivate
horde|đám đông, bầy lũ|crowd, swarm, mob
horizon|chân trời, tầm nhìn|skyline, perspective, scope
hormone|hoóc môn|chemical messenger, secretion
horn|cái sừng, còi|antler, siren, trumpet
horrendous|kinh khủng, tồi tệ|terrible, awful, dreadful
horror|sự kinh dị, khiếp sợ|terror, fear, dread
horse|con ngựa|steed, mount, stallion
hospital|bệnh viện|clinic, infirmary, medical center
host|chủ nhà, dẫn chương trình|presenter, entertainer, owner
hostage|con tin|captive, prisoner, pawn
hotel|khách sạn|inn, motel, lodge
hour|giờ, thời gian|time, period, duration
house|ngôi nhà, chứa đựng|home, residence, contain
hover|bay lượn, lảng vảng|float, linger, drift
howl|tiếng hú, gào thét|wail, yowl, cry
hub|trung tâm, trục|center, core, focal point
hubris|sự ngạo mạn|arrogance, pride, vanity
huddle|tụ tập, thu mình lại|gather, cluster, crouch
hue|màu sắc, sắc thái|color, shade, tint
hug|ôm chặt, bám sát|embrace, hold, cling
human|con người|person, mortal, individual
humid|ẩm ướt|damp, moist, muggy
humility|sự khiêm tốn|modesty, humbleness, unpretentiousness
humor|sự hài hước|comedy, amusement, wit
hundred|một trăm|century
hurdle|rào cản, chướng ngại vật|obstacle, barrier, hindrance
hurricane|bão cuồng phong|cyclone, typhoon, storm
husband|người chồng, tiết kiệm|spouse, partner, conserve
hush|sự im lặng, làm im|silence, quiet, suppress
hut|túp lều|cabin, shack, shanty
hygiene|vệ sinh|cleanliness, sanitation, purity
hymn|thánh ca|song, anthem, chant
hyperbole|biện pháp nói quá|exaggeration, overstatement, embellishment
hypnotize|thôi miên|mesmerize, entrance, captivate

idea|ý tưởng, quan niệm|concept, thought, notion, belief, opinion
ideal|lý tưởng, hoàn hảo|perfect, model, exemplary, flawless
identical|giống hệt nhau|same, equal, twin, indistinguishable
identify|nhận diện, xác định|recognize, distinguish, pinpoint, label
idiot|người ngốc nghếch|fool, dunce, simpleton, oaf
idle|lười biếng, nhàn rỗi|lazy, inactive, unoccupied, inert
ignite|đốt cháy, làm cháy|kindle, light, spark, inflame, burn
ignorant|thiếu hiểu biết|uneducated, uninformed, unaware, illiterate
ignore|lờ đi, bỏ qua|disregard, overlook, neglect, bypass
ill|ốm, bị bệnh|sick, unwell, ailing, poorly
illegal|bất hợp pháp|unlawful, illegitimate, illicit, banned
illegible|khó đọc, không đọc được|unreadable, indecipherable, faint
illuminate|chiếu sáng, làm sáng tỏ|light up, brighten, clarify, enlighten
illusion|ảo tưởng, ảo ảnh|delusion, mirage, fantasy, hallucination
illustrate|minh họa|demonstrate, clarify, depict, display, show
imaginary|tưởng tượng, không có thật|fictional, unreal, invented, hypothetical
imitate|bắt chước, sao chép|copy, mimic, emulate, mock, reproduce
immature|chưa trưởng thành|childish, young, green, youthful
immense|mênh mông, khổng lồ|huge, vast, enormous, colossal, gigantic
imminent|sắp xảy ra|impending, looming, near, approaching
immoral|trái đạo đức|wicked, sinful, corrupt, unethical, bad
immune|miễn dịch, miễn trừ|exempt, resistant, protected, invulnerable
impact|tác động, ảnh hưởng|effect, influence, impression, crash, collision
impartial|công bằng, khách quan|fair, unbiased, neutral, objective, juste
impede|cản trở, làm chậm|hinder, obstruct, hamper, delay, block
impediment|sự cản trở, trở ngại|obstacle, barrier, hindrance, obstruction
imperative|cấp bách, bắt buộc|urgent, vital, crucial, compulsory, mandatory
imperfect|không hoàn hảo|flawed, defective, faulty, incomplete
impetuous|hấp tấp, bốc đồng|impulsive, rash, hasty, reckless, passionate
implement|thi hành, dụng cụ|execute, enforce, tool, instrument, device
implicate|ám chỉ, liên đới|involve, incriminate, entangle, link
implicit|ngầm hiểu, ẩn ý|implied, unspoken, tacit, unexpressed
implore|van xin, khẩn cầu|beg, plead, entreat, beseech
imply|ngụ ý, ám chỉ|suggest, hint, insinuate, intimate
important|quan trọng|significant, vital, crucial, essential, key
impose|áp đặt, đánh thuế|enforce, inflict, levy, dictate
impossible|không thể|unachievable, hopeless, unfeasible, impracticable
impoverished|nghèo khổ, kiệt quệ|poor, penniless, destitute, bankrupt, needy
impressive|gây ấn tượng mạnh|admirable, striking, splendid, awesome, grand
imprison|bỏ tù, giam giữ|jail, incarcerate, confine, detain
improper|không thích hợp|unsuitable, inappropriate, unseemly, wrong
improve|cải thiện, nâng cao|enhance, better, ameliorate, upgrade, progress
impulsive|bốc đồng, tự phát|spontaneous, impetuous, rash, instinctive
inaccurate|không chính xác|incorrect, wrong, erroneous, imprecise
inactive|không hoạt động|idle, inert, passive, dormant, static
inadequate|không đầy đủ, thiếu|insufficient, deficient, short, lacking
inadvertent|vô tình, không chú ý|unintentional, accidental, unintended, careless
inane|ngớ ngẩn, vô nghĩa|silly, foolish, senseless, empty, vacuous
inaugurate|khai mạc, khánh thành|initiate, launch, install, introduce, begin
incapable|không có khả năng|unable, incompetent, unfit, powerless
incentive|sự khuyến khích, động lực|motivation, stimulus, inducement, encouragement
incessant|không ngừng, liên miên|continuous, constant, endless, perpetual
incident|sự cố, biến cố|event, occurrence, episode, happening
incisive|sắc sảo, nhạy bén|sharp, acute, keen, penetrating, piercing
incite|kích động, xúi giục|provoke, stir up, instigate, rouse, prompt
inclination|xu hướng, độ dốc|tendency, leaning, propensity, slope
include|bao gồm|contain, comprise, incorporate, involve
income|thu nhập|earnings, revenue, salary, profit, wages
incompetent|kém cỏi, bất tài|unskilled, inept, incapable, inefficient
incongruous|không phù hợp, khập khiễng|inappropriate, out of place, absurd, inconsistent
inconsiderate|thiếu chu đáo, ích kỷ|thoughtless, selfish, unthinking, insensitive
inconsistent|không nhất quán|contradictory, erratic, variable, unstable
inconspicuous|kín đáo, không nổi bật|unobtrusive, unnoticeable, hidden, low-key
incorporate|kết hợp, sáp nhập|integrate, include, combine, merge, blend
incredible|không thể tin được|unbelievable, amazing, astonishing, wonderful
incriminate|buộc tội|implicate, accuse, blame, charge
indecisive|do dự, lưỡng lự|hesitant, wavering, irresolute, doubtful
indefinite|không xác định|vague, unclear, uncertain, infinite, boundless
independent|độc lập, tự chủ|autonomous, free, self-reliant, separate
indicate|chỉ ra, biểu thị|show, point out, signify, denote, display
indifferent|thờ ơ, lãnh đạm|unconcerned, apathetic, uninterested, detached
indigent|nghèo khổ, bần cùng|poor, destitute, needy, impoverished
indignant|phẫn nộ, tức giận|angry, furious, resentful, outraged
indirect|gián tiếp|roundabout, winding, devious, circuitous
indispensable|không thể thiếu|essential, vital, crucial, necessary, requisite
indistinct|mờ nhạt, không rõ ràng|vague, blurry, faint, dim, hazy
indolent|lười biếng|lazy, idle, slothful, inactive
induce|thuyết phục, gây ra|persuade, influence, cause, prompt, provoke
industrious|chăm chỉ, cần cù|hard-working, diligent, busy, assiduous
inevitable|không thể tránh khỏi|unavoidable, certain, inescapable, fated
inept|vụng về, dở tệ|clumsy, awkward, incompetent, unskilled
infamous|tai tiếng, khét tiếng|notorious, disreputable, shameful, wicked
infatuation|sự cuồng si, mê đắm|crush, passion, obsession, fixation
infectious|truyền nhiễm, lây lan|contagious, catching, spreading, transmissible
infer|suy ra, luận ra|deduce, conclude, gather, surmise
inferior|kém hơn, cấp dưới|lower, subordinate, secondary, poorer
infinite|vô hạn, vô tận|endless, boundless, limitless, eternal
infirm|yếu ớt, gầy guộc|weak, feeble, frail, sick, ailing
inflame|làm bùng cháy, kích động|ignite, provoke, agitate, rouse, anger
inflate|bơm phồng, thổi phồng|blow up, expand, amplify, exaggerate
inflict|gây ra, giáng xuống|impose, deliver, wreak, cause
influence|ảnh hưởng, tác động|impact, effect, sway, affect, bias
inform|thông báo, báo tin|notify, tell, advise, apprise
informal|không trang trọng|casual, relaxed, unofficial, simple
infrequent|hiếm khi, ít thấy|rare, uncommon, occasional, sporadic
infuriate|làm tức điên lên|enrage, madden, anger, incense, provoke
ingenious|khéo léo, tài tình|clever, creative, inventive, brilliant, shrewd
ingenuous|ngây thơ, chân thật|innocent, naive, simple, frank, candid
ingredient|thành phần|component, element, part, constituent
inhabit|cư trú, sống ở|occupy, dwell in, live in, populate, reside
inherent|vốn có, cố hữu|innate, intrinsic, natural, essential
inherit|thừa kế, hưởng|receive, succeed, acquire
inhibit|ngăn chặn, kiềm chế|restraint, hinder, check, suppress, impede
initial|ban đầu, đầu tiên|first, primary, opening, introductory
initiate|khởi xướng, bắt đầu|begin, start, launch, commence, inaugurate
injure|làm bị thương, tổn hại|hurt, harm, damage, wound, impair
innocent|vô tội, ngây thơ|blameless, guiltless, pure, naive, harmless
innovative|đổi mới, sáng tạo|creative, original, inventive, new, groundbreaking
inquire|hỏi, điều tra|ask, question, investigate, query
insane|điên cuồng, mất trí|mad, crazy, lunatic, nuts, mental
insecure|không an toàn, tự ti|unconfident, anxious, unstable, vulnerable
insight|sự thấu suốt, hiểu biết sâu|understanding, perception, intuition, awareness
insignificant|không quan trọng, tầm thường|unimportant, minor, trivial, negligible, petty
insincere|không chân thành, giả tạo|fake, hypocritical, deceitful, dishonest
inspect|kiểm tra, thanh tra|examine, scrutinize, check, investigate, audit
inspire|truyền cảm hứng|motivate, encourage, stimulate, influence, rouse
install|lắp đặt, cài đặt|set up, place, fix, establish
instance|ví dụ, trường hợp|example, case, illustration, occasion
instant|ngay lập tức|immediate, prompt, quick, direct
instigate|xúi giục, kích động|incite, provoke, stir up, prompt, urge
instruct|hướng dẫn, dạy bảo|teach, guide, train, direct, order
insufficient|không đủ, thiếu thốn|inadequate, deficient, lacking, short
insult|lăng mạ, sỉ nhục|offend, abuse, affront, mock
intact|nguyên vẹn|undamaged, whole, complete, perfect, unbroken
integrate|tích hợp, hòa nhập|combine, incorporate, merge, blend, unite
intelligent|thông minh|smart, clever, bright, brilliant, brainy
intense|mãnh liệt, dữ dội|extreme, fierce, powerful, acute, severe
intensify|tăng cường, làm sâu sắc|heighten, increase, boost, strengthen, magnify
intent|ý định, mục đích|purpose, aim, goal, objective, intention
intentional|cố ý, có chủ tâm|deliberate, planned, intended, calculated
interfere|can thiệp, xen vào|meddle, intrude, intervene, interrupt
intermittent|gián đoạn, ngắt quãng|periodic, occasional, fitful, sporadic
internal|nội bộ, bên trong|inner, inside, interior, domestic
interpret|giải thích, phiên dịch|explain, translate, clarify, understand
interrupt|làm gián đoạn, ngắt lời|disrupt, disturb, break, stop, cut off
intimate|thân mật, sâu kín|close, familiar, private, personal, secret
intimidate|đe dọa, hù dọa|frighten, scare, terrify, bully, threaten
intolerable|không thể chịu đựng được|unbearable, insufferable, unendurable
intrepid|gan dạ, dũng cảm|fearless, brave, courageous, bold, dauntless
intricate|phức tạp, rắc rối|complex, complicated, detailed, elaborate
intrigue|làm tò mò, mưu đồ|fascinate, attract, plot, scheme
introduce|giới thiệu|present, launch, insert, establish
intrude|xâm phạm, đột nhập|trespass, encroach, invade, interrupt
intuition|trực giác|insight, instinct, perception, feeling
invade|xâm lược, xâm chiếm|attack, conquer, occupy, raid, infringe
invalid|không hợp lệ, tàn phế|void, null, expired, disabled, weak
invaluable|vô giá, cực kỳ quý báu|priceless, precious, beyond price
invariable|không thay đổi, cố định|constant, unchanging, fixed, uniform
icon|biểu tượng|symbol, idol, representation
iconic|mang tính biểu tượng|classic, famous, legendary
idealistic|duy tâm, mơ mộng|romantic, visionary, utopian
identity|danh tính, bản sắc|character, individuality, uniqueness
ideology|hệ tư tưởng|belief, philosophy, doctrine
idiom|thành ngữ|expression, phrase, language
illustrious|lẫy lừng, vinh quang|famous, renowned, distinguished
image|hình ảnh, ấn tượng|picture, representation, figure
imagination|sự tưởng tượng|creativity, mind, vision
imbalance|sự mất cân bằng|inequality, unevenness, disparity
immaculate|tinh khiết, hoàn hảo|spotless, flawless, perfect
immerse|đắm chìm, ngâm|submerge, involve, plunge
immobile|bất động|stationary, static, motionless
impair|làm suy yếu, làm hỏng|damage, harm, weaken
impart|truyền đạt, phổ biến|convey, bestow, communicate
impassioned|say sưa, nồng nhiệt|passionate, ardent, fervent
impassive|bình thản, dửng dưng|expressionless, unfeeling, calm
impatient|không kiên nhẫn|restless, eager, anxious
impeach|luận tội, nghi ngờ|accuse, challenge, charge
impeccable|hoàn hảo, không tì vết|flawless, perfect, faultless
impel|thúc ép, bắt buộc|force, compel, urge
impend|sắp xảy ra, đe dọa|approach, loom, threaten
imperial|thuộc hoàng gia, đế quốc|royal, majestic, regal
imperious|hống hách, độc đoán|arrogant, dictatorial, domineering
impermeable|không thấm nước|watertight, sealed, closed
impertinent|xấc xược, vô lễ|rude, insolent, disrespectful
impervious|không bị ảnh hưởng|unaffected, immune, resistant
impetus|động lực, sức đẩy|momentum, stimulus, drive
impinge|tác động, ảnh hưởng|encroach, affect, impact
implacable|không thể xoa dịu|unforgiving, relentless, ruthless
implant|cấy ghép, in đậm|insert, embed, instill
import|nhập khẩu, ý nghĩa|bring in, significance, meaning
importune|quấy rầy, nài nỉ|beg, harass, pester
imposing|oai vệ, bề thế|impressive, striking, grand
impound|tịch thu, giam giữ|confiscate, seize, detain
impoverish|làm cho nghèo khó|ruin, bankrupt, deplete
impractical|không thực tế|unrealistic, unworkable, theoretical
impregnable|không thể công phá|invincible, unassailable, secure
impress|gây ấn tượng|influence, affect, awe
imprint|in dấu, khắc ghi|stamp, mark, engrave
impromptu|ứng khẩu, không chuẩn bị|spontaneous, extemporaneous, unplanned
impudent|trơ trẽn, xấc xược|impertinent, insolent, brazen
impugn|công kích, bác bỏ|challenge, question, dispute
impulse|sự bốc đồng, xung lực|urge, desire, instinct
impunity|sự miễn hình phạt|exemption, immunity, freedom
impute|quy cho, đổ lỗi|attribute, ascribe, blame
inability|sự bất lực, không có khả năng|incapacity, powerlessness, failure
inaccessible|không thể tiếp cận|unreachable, remote, isolated
inanimate|vô tri vô giác|lifeless, dead, inert
inarticulate|không có tài ăn nói|unclear, incoherent, speechless
inattention|sự lơ đãng|carelessness, negligence, distraction
inaudible|không thể nghe thấy|faint, silent, hushed
inaugural|mở đầu, nhậm chức|first, opening, initial
inborn|bẩm sinh|innate, inherent, natural
incalculable|không thể tính toán được|countless, infinite, immense
incandescent|chói sáng, sáng rực|glowing, radiant, luminous
incapacitate|làm mất khả năng|disable, cripple, paralyze
incarcerate|bỏ tù, giam giữ|imprison, confine, jail
incarnation|sự hóa thân, hiện thân|embodiment, manifestation, personification
incendiary|phóng hỏa, kích động|provocative, flammable, inflammatory
incense|nhang, làm tức giận|enrage, infuriate, anger
inception|sự khởi đầu|beginning, start, origin
inchoate|mới hình thành, chưa phát triển|formless, incomplete, undeveloped
incidence|tỷ lệ mắc phải, sự việc|occurrence, rate, frequency
incidental|ngẫu nhiên, phụ|secondary, accidental, minor
incipient|chớm nở, mới bắt đầu|developing, starting, emerging
inclement|khắc nghiệt (thời tiết)|harsh, severe, stormy
incline|có xu hướng, nghiêng|lean, tend, slant
incognito|ẩn danh|disguised, unknown, anonymous
incoherent|không mạch lạc|unclear, confused, disjointed
incommensurate|không tương xứng|disproportionate, unequal, mismatched
incommunicado|bị cách ly|isolated, unreachable, sequestered
incomparable|không thể so sánh|matchless, peerless, unrivaled
incompatible|không tương thích|mismatched, clashing, unsuitable
inconceivable|không thể tưởng tượng nổi|unimaginable, unbelievable, unthinkable
inconclusive|không đi đến kết luận|undecided, unsettled, ambiguous
inconsequential|không quan trọng|insignificant, trivial, minor
inconsolable|không thể nguôi ngoai|heartbroken, devastated, grief-stricken
incontrovertible|không thể chối cãi|indisputable, undeniable, unquestionable
inconvenience|sự bất tiện|trouble, bother, nuisance
incorrigible|không thể sửa chữa, hết thuốc chữa|habitual, unmanageable, incurable
increase|tăng lên|grow, expand, multiply
incredulous|hoài nghi|skeptical, unbelieving, doubtful
increment|sự gia tăng|addition, step, increase
incubate|ấp (trứng), ủ bệnh|hatch, develop, nurture
inculcate|khắc sâu, ghi nhớ|instill, implant, indoctrinate
incumbent|đương nhiệm, bổn phận|occupant, obligatory, binding
incur|gánh chịu, chuốc lấy|suffer, bring upon, experience
incurable|không thể chữa khỏi|fatal, untreatable, terminal
incursion|sự xâm nhập|invasion, attack, raid
indecent|không đứng đắn, khiếm nhã|obscene, improper, vulgar
indefatigable|không biết mệt mỏi|tireless, unflagging, relentless
indelible|không thể xóa nhòa|permanent, lasting, unerasable
indemnify|bồi thường, bảo đảm|compensate, reimburse, protect
indicator|chỉ số, người chỉ định|sign, pointer, marker
indict|buộc tội|accuse, charge, arraign
indigenous|bản địa|native, aboriginal, local
indignity|sự xúc phạm, sỉ nhục|insult, humiliation, affront
indiscriminate|bừa bãi, không phân biệt|random, haphazard, careless
indisputable|không thể chối cãi|undeniable, unquestionable, incontrovertible
indoctrinate|truyền bá, giáo dục|brainwash, teach, instruct
indomitable|bất khuất|invincible, unconquerable, steadfast
indubitable|chắc chắn, rõ rành rành|certain, unquestionable, evident
induct|kết nạp, đưa vào|install, admit, introduce
indulge|chiều chuộng, đam mê|spoil, pamper, gratify
indulgent|khoan dung, hay chiều chuộng|lenient, permissive, tolerant
industry|ngành công nghiệp, sự cần cù|business, trade, diligence
inebriated|say xỉn|drunk, intoxicated, tipsy
ineffable|không thể tả xiết|indescribable, inexpressible, unutterable
ineffectual|không có hiệu quả|futile, useless, ineffective
inequity|sự bất công|injustice, unfairness, discrimination
inert|trơ, bất động|inactive, motionless, static
inertia|quán tính, sự trì trệ|inactivity, sluggishness, apathy
inescapable|không thể tránh khỏi|unavoidable, inevitable, certain
inexorable|không lay chuyển được|relentless, unstoppable, unyielding
inexplicable|không thể giải thích được|unaccountable, incomprehensible, puzzling
infallible|không bao giờ sai|perfect, flawless, foolproof
infancy|thời thơ ấu|childhood, beginning, babyhood
infant|trẻ sơ sinh|baby, newborn, toddler
infatuated|say mê, cuồng dại|obsessed, captivated, smitten
infernal|thuộc địa ngục, ma quỷ|hellish, diabolical, demonic
inferno|địa ngục, hỏa ngục|hell, fire, blaze
infest|tràn ngập, quấy phá|overrun, plague, swarm
infidel|người ngoại đạo|unbeliever, heathen, pagan
infiltrate|xâm nhập, trà trộn|penetrate, sneak in, pervade
infinitesimal|cực kỳ nhỏ bé|tiny, microscopic, minute
influx|sự tràn vào, đổ xô|inflow, rush, influx
infraction|sự vi phạm|violation, breach, offense
infringe|vi phạm, xâm phạm|violate, encroach, trespass
infuse|truyền vào, pha|instill, impart, steep
ingenuity|sự khéo léo, mưu trí|inventiveness, cleverness, creativity
ingratiate|lấy lòng|flatter, curry favor, charm
ingratitude|sự vô ơn|thanklessness, ungratefulness
inhale|hít vào|breathe in, gasp, sniff
inimical|độc hại, thù địch|hostile, harmful, unfriendly
inimitable|không thể bắt chước|unique, peerless, incomparable
iniquitous|tội lỗi, bất công|wicked, sinful, unjust
iniquity|sự bất công, tội ác|wickedness, evil, sin
inject|tiêm, bơm|insert, introduce, add
injunction|lệnh, chỉ thị|order, command, ruling
inkling|sự nghi ngờ, linh cảm|hint, clue, suspicion
inland|trong đất liền|interior, internal, domestic
inmate|tù nhân, người ở chung|prisoner, resident, occupant
innate|bẩm sinh|inborn, inherent, natural
innocuous|vô hại|harmless, safe, mild
innovate|đổi mới, sáng tạo|invent, pioneer, introduce
innuendo|lời ám chỉ, nói bóng gió|hint, suggestion, implication
inoculate|tiêm chủng|vaccinate, immunize, inject
inordinate|quá mức, thất thường|excessive, unreasonable, exorbitant
inquest|cuộc điều tra|inquiry, investigation, hearing
inquisitive|tò mò, ham học hỏi|curious, inquiring, nosy
insatiable|không thể thỏa mãn|unquenchable, greedy, voracious
inscribe|viết, khắc lên|engrave, carve, write
inscrutable|không thể hiểu được|mysterious, unreadable, enigmatic
insect|côn trùng|bug, pest
insensible|vô cảm, bất tỉnh|unconscious, numb, unaware
insidious|xảo quyệt, âm thầm|stealthy, cunning, subtle
insignia|huy hiệu|badge, emblem, symbol
insinuate|ám chỉ, nói bóng gió|hint, imply, suggest
insipid|nhạt nhẽo, vô vị|bland, flavorless, dull
insist|khăng khăng, nhấn mạnh|demand, assert, urge
insolent|xấc xược, vô lễ|impertinent, rude, disrespectful
insolvent|vỡ nợ|bankrupt, broke, ruined
insomnia|chứng mất ngủ|sleeplessness, wakefulness
insouciant|vô tư, không lo nghĩ|carefree, nonchalant, indifferent
instill|truyền đạt, thấm nhuần|implant, inculcate, infuse
instinct|bản năng|intuition, urge, feeling
institute|viện, thành lập|organization, found, establish
instrument|nhạc cụ, công cụ|tool, device, implement
insubordinate|chống đối, không vâng lời|disobedient, rebellious, defiant
insular|hẹp hòi, thuộc đảo|narrow-minded, provincial, isolated
insulate|cách điện, cách ly|protect, isolate, shield
insurgent|người nổi dậy|rebel, revolutionary, mutineer
insurmountable|không thể vượt qua|unbeatable, invincible, overwhelming
insurrection|cuộc nổi dậy|rebellion, revolt, uprising
intangible|vô hình, không thể sờ thấy|impalpable, abstract, untouchable
integral|thiết yếu, không thể thiếu|essential, vital, fundamental
integrity|sự chính trực, toàn vẹn|honesty, uprightness, completeness
intellect|trí tuệ|mind, intelligence, brain
intemperate|không điều độ, nghiện rượu|excessive, immoderate, unrestrained
intend|có ý định|plan, mean, aim
inter|chôn cất|bury, entomb
intercede|can thiệp, nói giúp|mediate, intervene, arbitrate
intercept|chặn lại|stop, catch, ambush
interchange|sự trao đổi, nút giao thông|exchange, swap, intersection
interdict|lệnh cấm|prohibit, forbid, ban
interest|sự quan tâm, tiền lãi|curiosity, attention, profit
interim|tạm thời, thời gian chuyển tiếp|temporary, provisional, meantime
interior|bên trong, nội thất|inside, inner, internal
interject|xen vào, ngắt lời|interrupt, insert, interpose
interlocutor|người đối thoại|speaker, conversationalist
interloper|kẻ xâm nhập, chõ mõm|intruder, trespasser, meddler
interlude|thời gian giải lao, nhạc dạo|pause, break, interval
intermediary|người trung gian|mediator, go-between, broker
interminable|vô tận, không bao giờ kết thúc|endless, perpetual, continuous
intermission|sự gián đoạn, thời gian nghỉ|break, pause, recess
interpolate|xen vào, thêm vào|insert, interject, add
interpose|đặt vào giữa, can thiệp|insert, intervene, mediate
interrogate|chất vấn, thẩm vấn|question, cross-examine, quiz
intersect|cắt ngang, giao nhau|cross, meet, divide
intersperse|đặt rải rác|scatter, distribute, mix
intertwine|quấn vào nhau|twist, interweave, tangle
intervene|can thiệp|step in, mediate, interfere
intolerant|không khoan dung|bigoted, prejudiced, narrow-minded
intoxicate|làm say|inebriate, thrill, elate
intractable|cứng đầu, khó bảo|stubborn, obstinate, unmanageable
intransigent|không khoan nhượng|uncompromising, inflexible, rigid
intrinsic|thuộc bản chất, thực chất|inherent, innate, essential
